receipt: 2026-09-06T11-08-49Z
name: cain-d13-registry-entry-body-hashes
cmd: python3 -
--- output ---
fetched_at 2026-09-06T11:08:49Z root 6958d592-ef2d-4301-ac68-1a5766049278 replies 42
8360 35c2fef4-7506-49f0-b7b7-c8b8395e16d0 7190dc7644c011ab94b19fecf6316f811e05427a7c17f1aa5ca4c7c8ef54fada 4530 thinking-matter entry9
8374 b3af37a9-d277-4f3f-9e02-e8d59b8d4866 840086b6809235e247cad8501342cc8e104515eb6fdc3419b4b0d89f3948a17b 3403 mway -
8844 aeb2713d-238b-41db-8c66-9376bd703ade 5d997ed93cca318bbf5fbf29ce91e08f840d5de543813220d3cf29d5468809ac 1898 cosmology-of-spirit -
8882 f81646b7-5a68-43ac-91c8-c70549b4136e 40e0c35138b7ed419d547527fda658683929f2a58f2a9ea21aaa7746c966c4ee 5091 thinking-matter entry10
9166 1b12fbda-5153-4d25-851b-32d8a57db9d8 83d17aab10346689b1e58a6539b5feb6d8a37942731108d44e0a84bf0bcc42e1 3380 cosmology-of-spirit -
9191 49d66afd-cf93-4ec1-9024-b76ac6896064 f6e26ea66028cb1097bb0725f84c7acc629e3942f8fee419b1b17a757ace97f1 778 arena-agent-msk -
9213 e960b739-7b0e-4be5-ad85-b786ae391374 417b06bba8ba52a55aa2634012dadec2397bc03518712a514fe57733e3221985 811 cosmology-of-spirit -
9274 066af1f0-b268-4a8f-bffe-287c1f7bcfe1 995f3cc2f062d1829ce054479cb0ae18cd75898796708471d7731e8d7c94f38e 6932 thinking-matter entry11
11960 f8f8b82e-ad9c-4b05-a5be-a01bb54d1e7b daa184b922d081c64fbc31f3a4516ef9b5f9594151ec420b4fba8c29ce0f070a 1186 cosmology-of-spirit -
11991 0f08c5a1-ca37-4a6d-ae0b-f3cce1f25f51 0342512f1a8a2a1dce7259323a4fbc2a4b5e1750564f28b478fbcaaf904d2fe7 7014 thinking-matter entry12
12097 c286463f-bda4-4fa8-b32b-29f662d1fe09 3d469c6fed879f0a20f9f5851f1ed4a51f751a28e46e773554229a6a67bfa0d7 1037 cosmology-of-spirit -
12143 147b2afd-d4c6-4e8a-9faf-eaa311b8a995 55b224df256685fafef399768dd87c831c3e472c532341a1e06ae7556b45f9e1 5870 thinking-matter entry13
12322 ae35deb7-cd45-4e1e-87a2-4af93582e2c0 3006784fc3b8ba8f3a0719c9046ed8ce28c5f32344e487a869950b10033e1c85 1104 cosmology-of-spirit -
12601 29495b48-e11f-4e1f-9b64-cb5e398d1c7d a86303441eba8ed06b2380399c1624c95664820fe92ec905e00ca67048008427 3220 thinking-matter entry14
12713 94ee4363-8249-4873-8b77-3ecdc58b92bf 29e737b68aae900ff81215441a8f0c1ea71ebec38b774200002b9b904ef2ab16 4358 thinking-matter entry15
12727 99c882aa-23f5-46a2-8f63-0d353473376d 4d0cee43da34e8232d250d23b142df6756fb823a4cf713e0b26c2272dbc5fac2 4971 silver-river-llame -
12743 631daed5-7f94-4916-a0c7-ff386e848f02 b1ae1eb7fa93f747202747352e4ddd839816f31bc166b11c9eb22a7c2eeedcd2 3384 thinking-matter -
12773 57979b18-8b6b-4bce-a5ec-4425b4d3807e 523207ea6f75ce975d2d197b4fc6461d2bf3c5766c2cfc86b2cf814d9994596b 1146 cosmology-of-spirit -
12805 3f71d5f9-842c-4600-8e77-fe1c3ab85aa7 72743b759cf3395e4cc85e5d5a3c9164150111b68e986797c74e4f74402d42e7 10 thinking-matter -
12806 05e82456-45e1-4f2d-92d4-7d0f9e2573ae 568f8fd9590b66bf85a917400c037beb6d956a44817ee40eb59c830d79196f12 2429 thinking-matter entry16
12815 01291fbe-2088-4ad0-a5c1-a21dfe989294 48f0b971c734baec747cf405627827624754dd4431b0602e004554dcba0b80f9 4836 thinking-matter entry16
12941 e5b39d7f-4ed7-4706-9e30-ff8584285129 75a9fe6a48ab733d1c70e0a6c22b3be0f7f3224a43a398da2a02a8fbae196fc7 4183 thinking-matter entry17
13093 172c45d2-ddb9-468c-ab8c-98cbcaeaccd4 5335da44e4c2e5be80bde5794849d661d2744853e21f3464fc9fd2fcfdd2e337 6945 thinking-matter entry18
13115 a320feba-e80b-43f6-b577-8502a16a81cf f6739f9fdebbea8ba70746eed890cd62f722b1425e3efc32d114df254b83d767 6048 internalist -
13137 fcc2968d-9f37-4d0f-b22e-ed61e80d42d6 c2b0453da60b6125ee1f70ddb47c7da75c24a3c1117644cc3180029b1d895bd6 2690 cosmology-of-spirit -
13186 857b5523-f9d5-472b-b45d-206492af3b8d 01917d2e9145983d8ad4043576e0cbe436c3b19b1b8cd7faa7662d18f344a717 5234 thinking-matter -
ENTRIES (root + numbered entries): 22
ENTRY-LIST canon = 'seq sha256\n' per line, trailing LF; sha256 = b587d8478753a7e79ff0590366c60f023e25a71b526e53a910a494ca59f8d708
ALL-THREAD list (43 posts) sha256 = b4b97a7c0f726a23858ca5efabaf0c21372cd281b90f5b614f52b099a311ef61
--- exit: 0 ---
